id,alpha,delta,magnitude,diameter,axisRatio,posAngle,Common name,PGC,PGC2,Messier
NGC571,22.483150,32.501411,15.00,0.35,1.04,10,,PGC5587,,
NGC578,22.618950,-22.667211,10.93,4.17,1.52,115,,PGC5619,,
NGC577,22.669632,-1.994367,14.30,0.94,1.47,145,,PGC5628,,
NGC575,22.694367,21.440427,13.02,0.90,1.35,90,,PGC5634,,
NGC573,22.705593,41.257255,13.00,0.45,1.14,110,,PGC5638,,
IC1711,22.730279,17.188483,14.80,1.23,3.33,40,,PGC5643,,
NGC584,22.836347,-6.867992,10.48,3.72,1.55,103,,PGC5663,,
IC128,22.849525,-12.624381,14.00,0.37,1.47,155,,PGC5659,,
IC129,22.880193,-12.654243,14.70,0.55,1.35,65,,PGC5675,,
NGC586,22.903504,-6.893798,13.16,0.99,2.27,175,,PGC5679,,
NGC585,22.925411,-0.932967,14.40,1.68,4.17,85,,PGC5688,,
NGC579,22.943764,33.615555,13.60,0.80,1.28,5,,PGC5691,,
NGC582,22.991854,33.476514,13.70,1.47,3.57,60,,PGC5702,,
NGC597,23.061949,-33.497134,13.98,0.55,1.11,155,,PGC5721,,
NGC593,23.086475,-12.354442,14.00,0.78,3.85,10,,PGC5733,,
