No,id,alpha,delta,diameter,Area,Common name
459,FeSt 1-459,259.5298,-22.6691,60.71,0.804,
460,FeSt 1-460,261.7051,-22.5753,161.04,5.658,
461,FeSt 1-461,268.7796,-26.5245,50.89,0.565,
462,FeSt 1-462,265.1158,-24.2922,33.92,0.251,
463,FeSt 1-463,264.3612,-23.5292,24.03,0.126,
464,FeSt 1-464,262.6047,-22.4543,56.28,0.691,
465,FeSt 1-465,268.4735,-25.5093,261.45,14.913,
466,FeSt 1-466,263.8829,-22.9648,119.76,3.129,
467,FeSt 1-467,271.0796,-26.4966,84.59,1.561,
468,FeSt 1-468,272.5334,-27.1396,31.97,0.223,
469,FeSt 1-469,266.6838,-23.0346,91.31,1.819,
470,FeSt 1-470,269.3149,-24.0385,78.05,1.329,
471,FeSt 1-471,270.1926,-24.5009,67.57,0.996,
472,FeSt 1-472,271.5192,-24.7612,113.77,2.824,
473,FeSt 1-473,271.0414,-24.2801,53.65,0.628,
474,FeSt 1-474,272.9711,-25.1041,64.73,0.914,
475,FeSt 1-475,268.08,-22.3278,55.79,0.679,
476,FeSt 1-476,270.7115,-23.4484,22.76,0.113,
477,FeSt 1-477,272.3152,-24.0906,36.4,0.289,
478,FeSt 1-478,269.3564,-22.555,38.12,0.317,
479,FeSt 1-479,272.6144,-23.9558,29.36,0.188,
480,FeSt 1-480,271.6357,-23.3106,68.31,1.018,
481,FeSt 1-481,270.6297,-22.2488,48.16,0.506,
482,FeSt 1-482,273.4625,-23.635,26.57,0.154,
483,FeSt 1-483,272.8354,-23.2714,87.2,1.659,
484,FeSt 1-484,279.225,-25.9906,73.98,1.194,
485,FeSt 1-485,272.8826,-22.7712,38.12,0.317,
486,FeSt 1-486,282.9457,-25.5228,29.12,0.185,
487,FeSt 1-487,282.4361,-23.8085,65.85,0.946,
488,FeSt 1-488,282.1847,-23.543,17.78,0.069,
489,FeSt 1-489,282.5297,-22.6914,11.33,0.028,
