id,A,C,D,S,alpha,delta,BMAG,VMAG,B-V,SB,diameter,minAxis,axisRatio,posAngle,TYPE,z,D(z),Dist,PGC,ID1,ID2,ID3
NGC 156,,,*,9,8.64916666666667,-8.3394,,,,,,,,,*,,,,,,,
NGC 157,,,*,1,8.69333333333333,-8.3961,11,10.4,0.6,12.9,3.5,2.4,1.46,36,SBbc,0.00551,23.27,19.5,2081,MCG -2-2-56,,
NGC 158,,,*,9,8.77291666666667,-8.345,,,,,,,,,*,,,,,,,
NGC 159,,,*,1,8.6475,-55.7897,14.6,13.7,0.9,13.1,1.4,0.4,3.5,95,SB0-a,0.027976,118.17,124,2073,ESO 150-11,,
NGC 160,,,*,1,9.01708333333333,23.9581,13.6,12.7,0.9,14.3,2.3,1.2,1.92,45,S0-a,0.017525,74.02,76.22,2154,UGC 356,MCG 4-2-33,CGCG 479-43
NGC 161,,,*,1,8.89125,-2.8483,14.4,13.4,1,13.3,1.3,0.8,1.63,27,S0,0.020311,85.79,,2131,MCG -1-2-36,NPM1G -03.0032,
NGC 162,,,*,9,9.03833333333333,23.9622,15,,,,,,,,*,,,,,,,
NGC 163,,,*,1,8.99875,-10.1214,13.6,12.7,0.9,13.4,1.6,1.2,1.33,85,E3,0.019954,84.28,,2149,MCG -2-2-66,NPM1G -10.0017,
NGC 164,,,*,1,9.13708333333333,2.75,16.6,15.8,0.8,13.7,0.4,0.4,1,,S,,,,2181,MCG 0-2-89,,
NGC 165,,,*,1,9.12041666666667,-10.1064,13.9,13.1,0.8,13.7,1.6,1.3,1.23,77,SBbc,0.019617,82.86,,2182,MCG -2-2-69,IRAS 00339-1022,
NGC 166,,,*,1,8.95333333333333,-13.6106,15.2,14.3,0.9,12.7,0.9,0.3,3,145,Sa,0.020084,84.83,,2143,MCG -2-2-63,,
NGC 167,,,*,1,8.84541666666667,-23.3747,14.4,13.7,0.7,13.2,1,0.7,1.43,171,SBc,0.012812,54.12,,2122,ESO 473-29,MCG -4-2-22,IRAS 00328-2339
NGC 168,,,*,1,9.16083333333333,-22.5936,14.9,14,0.9,12.8,1.2,0.3,4,26,S0-a,0.01298,54.83,,2192,ESO 474-4,MCG -4-2-26,AM 0034-225
NGC 169,A,,,8,9.2175,23.985,14.7,14,0.7,12.7,0.4,0.3,1.33,10,S0-a,0.015327,64.74,,2201,IC 1559,MCG 4-2-34,MK 341
NGC 169,,,*,1,9.21541666666667,23.9914,13.2,12.4,0.8,12.7,2.6,0.6,4.33,88,Sb,0.015434,65.19,75.72,2202,UGC 365,MCG 4-2-35,CGCG 479-44
NGC 170,,,*,1,9.19125,1.8864,15.4,14.4,1,12.4,0.4,0.3,1.33,79,E-S0,0.01424,60.15,,2195,MCG 0-2-91,CGCG 383-42,
NGC 171,,,*,1,9.33958333333333,-19.9344,12.9,12.2,0.7,13.5,2.1,1.9,1.11,,SBab,0.013043,55.09,,2232,NGC 175,ESO 540-6,MCG -3-2-24
NGC 172,,,*,1,9.30666666666667,-22.5867,14,13.4,0.6,12.9,2,0.3,6.67,12,SBbc,0.010164,42.93,42.82,2228,ESO 474-5,MCG -4-2-27,AM 0034-225
NGC 173,,,*,1,9.30166666666667,1.9422,13.7,13,0.7,15.2,3.2,2.6,1.23,90,Sc,0.014563,61.51,,2223,UGC 369,MCG 0-2-92,CGCG 383-43
NGC 174,,,*,1,9.245,-29.4778,13.8,12.9,0.9,12.6,1.4,0.6,2.33,152,SB0-a,0.011905,50.29,,2206,ESO 411-1,MCG -5-2-28,AM 0034-294
NGC 175,,,*,7,9.33958333333333,-19.9344,12.9,12.2,0.7,13.5,2.1,1.9,1.11,,SBab,0.013043,55.09,,2232,NGC 171,ESO 540-6,MCG -3-2-24
NGC 176,,,*,4,8.995,-73.1661,,12.7,,,1,,,,OCL,,,62.44,,ESO 29-SC2,in SMC,
NGC 177,,,*,1,9.39291666666667,-22.5492,14.1,13.3,0.8,13.3,2.2,0.5,4.4,11,Sab,0.012792,54.03,,2241,ESO 474-6,MCG -4-2-28,AM 0035-224
NGC 178,,,*,1,9.785,-14.1722,13.1,12.6,0.5,13.2,2.1,0.9,2.33,178,Sb/P,0.004827,20.39,18.4,2349,IC 39,MCG -2-2-78,8ZW 34
NGC 179,,,*,1,9.44291666666667,-17.85,14.2,13.3,0.9,12.8,0.9,0.7,1.29,113,E-S0,0.019934,84.2,87.65,2253,ESO 540-7,MCG -3-2-26,
NGC 180,,,*,1,9.49041666666667,8.6347,13.7,12.9,0.8,13.7,1.9,1.3,1.46,160,SBbc,0.017616,74.41,,2268,UGC 380,MCG 1-2-39,CGCG 409-50
NGC 181,,,*,1,9.59708333333333,29.4733,15.8,14.9,0.9,12.6,0.7,0.2,3.5,147,S?,0.018463,77.99,,2287,MCG 5-2-32,CGCG 500-55,
NGC 182,,,*,1,9.55166666666667,2.7286,13.3,12.4,0.9,13.6,1.9,1.6,1.19,75,SBa,0.017549,74.13,,2279,UGC 382,MCG 0-2-95,CGCG 383-45
NGC 183,,,*,1,9.62208333333333,29.5117,13.7,12.7,1,14.1,1.7,1.1,1.55,130,E4,0.018019,76.11,,2298,UGC 387,MCG 5-2-35,CGCG 500-57
NGC 184,,,*,1,9.64916666666667,29.4475,15.7,14.7,1,12.4,0.7,0.2,3.5,5,S0,0.017642,74.52,,2309,CGCG 500-59,,
NGC 185,,,*,1,9.74,48.3372,10.1,9.2,0.9,14.4,8,7,1.14,35,E3,-0.000674,,0.67,2329,UGC 396,MCG 8-2-10,CGCG 550-9
NGC 186,,,*,1,9.605,3.1661,14.3,13.4,0.9,13.4,1.4,0.8,1.75,23,SB0-a,0.015551,65.69,,2291,UGC 390,MCG 0-2-98,CGCG 383-47
NGC 187,,,*,1,9.87583333333333,-14.6564,13.9,13.2,0.7,12.6,1.3,0.5,2.6,148,Sc,0.013132,55.47,,2380,MCG -3-2-34,IRAS 00369-1455,
NGC 188,,,*,4,11.875,85.2583,,8.1,,,15,,,,II2r,,,2,,OCL 309,,
NGC 189,,,*,4,9.89833333333333,61.095,,8.8,,,5,,,,III2p,,,1.3,,OCL 301,,
NGC 190,A,,,1,9.7275,7.0564,15.8,14.8,1,13.8,0.6,0.6,1,,E0,0.040765,172.19,,2325,MCG 1-2-42,CGCG 409-51,3ZW 10
NGC 190,,,*,1,9.72791666666667,7.0622,14.8,14,0.8,13.4,0.9,0.8,1.13,135,Sab,0.040658,171.74,,2324,UGC 397,MCG 1-2-41,CGCG 409-51
NGC 191,A,,,8,9.75041666666667,-9.015,15,14,1,12.9,0.7,0.6,1.17,143,S0/P,0.020452,86.39,89.9,2332,IC 1563,MCG -2-2-76,Arp 127
NGC 191,,,*,1,9.74666666666667,-9.0028,13.2,12.5,0.7,12.8,1.4,1.2,1.17,128,SBc/P,0.020267,85.61,,2331,MCG -2-2-77,Arp 127,
NGC 192,,,*,1,9.80625,0.8642,13.4,12.6,0.8,13,1.9,0.9,2.11,167,SBa,0.013787,58.24,,2352,UGC 401,MCG 0-2-104,CGCG 383-51
NGC 193,,,*,1,9.82708333333333,3.3311,13.3,12.3,1,12.7,1.4,1.2,1.17,55,E/SB0,0.014723,62.19,,2359,UGC 408,MCG 0-2-103,CGCG 383-55
NGC 194,,,*,1,9.82625,3.0375,13.2,12.2,1,13,1.6,1.4,1.14,30,E1,0.017439,73.66,50.3,2362,UGC 407,MCG 0-2-105,CGCG 383-54
NGC 195,,,*,1,9.89875,-9.1942,14.6,13.7,0.9,13.6,1.2,0.9,1.33,45,SBa,0.016368,69.14,,2391,MCG -2-2-79,NPM1G -09.0025,IRAS 00370-0928
NGC 196,,,*,1,9.82416666666667,0.9131,13.8,12.9,0.9,12.8,1.3,0.8,1.63,3,SB0,0.014193,59.95,,2357,UGC 405,MCG 0-2-110,CGCG 383-53
NGC 197,,,*,1,9.82791666666667,0.8925,14.8,14.1,0.7,14,0.7,0.7,1,,S0,0.013746,58.06,,2365,UGC 406,MCG 0-2-107,CGCG 383-53
NGC 198,,,*,1,9.84541666666667,2.7983,13.9,13.2,0.7,13.4,1.2,1.2,1,,Sc,0.017596,74.32,,2371,UGC 414,MCG 0-2-109,CGCG 383-57
NGC 199,,,*,1,9.88791666666667,3.1381,14.6,13.6,1,13.3,1.2,0.7,1.71,160,S0,0.015351,64.84,,2382,UGC 415,MCG 0-2-111,CGCG 383-58
NGC 200,,,*,1,9.89458333333333,2.8869,13.5,12.6,0.9,13.1,1.7,1,1.7,161,SBbc,0.017242,72.83,70.08,2387,UGC 420,MCG 0-2-112,CGCG 383-60
NGC 201,,,*,1,9.89541666666667,0.8603,13.6,12.9,0.7,13.8,1.8,1.5,1.2,155,SBc,0.014728,62.21,,2388,UGC 419,MCG 0-2-115,CGCG 383-59
NGC 202,,,*,1,9.91541666666667,3.5356,15.2,14.3,0.9,13.2,0.9,0.3,3,153,S0-a,0.013316,56.25,,2394,UGC 421,MCG 0-2-113,CGCG 383-62
NGC 203,,,*,1,9.91458333333333,3.4425,15,14,1,12.4,0.9,0.3,3,85,S0,0.017415,73.56,,2393,NGC 211,MCG 0-2-114,CGCG 383-61
NGC 204,,,*,1,9.93416666666667,3.3,13.8,12.9,0.9,13.1,1.2,1.1,1.09,30,S0,0.017986,75.97,,2397,UGC 423,MCG 0-2-116,CGCG 383-63
NGC 205,,,*,1,10.0920833333333,41.6853,8.9,8.1,0.8,14,19.5,11.5,1.7,170,E5,-0.000804,,0.8,2429,M 110,UGC 426,MCG 7-2-14
NGC 206,,,*,6,10.1345833333333,40.7383,,14,,,4.2,,,,GxyP,,,0.79,,part of M 31,,
NGC 207,,,*,1,9.91958333333333,-14.2364,14.6,13.7,0.9,12.4,0.9,0.4,2.25,85,Sa,0.013276,56.08,,2395,MCG -3-2-35,IRAS 00371-1430,
NGC 208,,,*,1,10.0725,2.7558,15.2,14.3,0.9,13.3,0.7,0.7,1,,Sa,0.017072,72.11,,2420,MCG 0-2-118,CGCG 383-64,
NGC 209,,,*,1,9.76458333333333,-18.6083,13.9,12.9,1,13,1.1,1.1,1,,E-S0,0.013112,55.38,,2338,ESO 540-8,MCG -3-2-31,NPM1G -18.0019
NGC 210,,,*,1,10.145,-13.8725,11.6,10.9,0.7,13.8,5,3.3,1.52,160,SBb,0.005457,23.05,19.7,2437,MCG -2-2-81,IRAS 00380-1408,
NGC 211,,,*,7,9.91458333333333,3.4425,15,14,1,12.4,0.9,0.3,3,85,S0,0.017415,73.56,,2393,NGC 203,MCG 0-2-114,CGCG 383-61
NGC 212,,,*,1,10.0558333333333,-56.1525,14.3,13.3,1,13.1,1,0.9,1.11,131,E-S0,0.027552,116.38,,2417,ESO 150-18,AM 0038-562,
NGC 213,,,*,1,10.29125,16.4697,14.4,13.5,0.9,14,1.5,1.2,1.25,102,SBa,0.018173,76.76,,2469,UGC 436,MCG 3-2-23,CGCG 457-26
NGC 214,,,*,1,10.3666666666667,25.4994,13,12.3,0.7,13.1,1.9,1.5,1.27,35,SBc,0.015134,63.92,65.8,2479,UGC 438,MCG 4-2-44,CGCG 479-59
NGC 215,,,*,1,10.20375,-56.2142,14,13,1,12.8,1.1,0.9,1.22,120,E-S0,0.027502,116.17,,2451,ESO 150-19,AM 0038-562,
NGC 216,,,*,1,10.3629166666667,-21.0453,13.7,13.2,0.5,13.5,2,0.7,2.86,27,S0,0.00515,21.75,19.1,2478,ESO 540-15,MCG -4-2-35,HARO 13
NGC 217,,,*,1,10.39125,-10.0217,13.3,12.4,0.9,12.8,2.7,0.6,4.5,115,S0-a,0.013262,56.02,55.65,2482,MCG -2-2-85,IRAS 00390-1017,
NGC 218,,,*,1,11.6333333333333,36.3256,13.5,12.6,0.9,13.3,1.5,1.2,1.25,20,Sc,0.037426,158.08,,2720,UGC 480,MCG 6-2-16,CGCG 519-21
NGC 219,,,*,1,10.5470833333333,0.9044,15.3,14.3,1,12.8,0.5,0.4,1.25,170,E2,0.018252,77.1,,2522,MCG 0-2-128,CGCG 383-73,
NGC 220,,,*,4,10.125,-73.4042,,12.4,,,0.8,,,,OCL,,,62.44,,ESO 29-SC3,in SMC,
NGC 221,,,*,1,10.6741666666667,40.8658,9,8.1,0.9,12.5,8.5,6.5,1.31,179,E2,-0.000667,,0.77,2555,M 32,UGC 452,MCG 7-2-15
NGC 222,,,*,4,10.1820833333333,-73.3858,,12.2,,,0.6,,,,OCL,,,62.44,,ESO 29-SC4,in SMC,
NGC 223,,,*,1,10.56625,0.8461,14.1,13.2,0.9,13.2,1.3,0.9,1.44,62,S0-a/P,0.017772,75.07,,2527,IC 44,UGC 450,MCG 0-2-129
NGC 224,,,*,1,10.6845833333333,41.2689,4.4,3.4,1,13.5,189.1,61.7,3.06,35,Sb,-0.001001,,0.79,2557,M 31,UGC 454,MCG 7-2-16
NGC 225,,,*,4,10.9,61.7667,,7,,,15,,,,III1p,,,0.657,,OCL 305,,
NGC 226,,,*,1,10.7245833333333,32.5803,14.4,13.4,1,12.6,0.9,0.6,1.5,105,P,0.016094,67.98,,2572,UGC 459,CGCG 500-76,IRAS 00402+3218
NGC 227,,,*,1,10.6525,-1.5281,13.1,12.2,0.9,12.8,1.5,1.2,1.25,155,E-S0,0.017669,74.63,60.9,2547,UGC 456,MCG 0-2-135,CGCG 383-76
NGC 228,,,*,1,10.7270833333333,23.5033,14.5,13.7,0.8,13.7,1.2,1.1,1.09,126,SBab,0.024737,104.49,,2563,UGC 458,MCG 4-2-48,CGCG 479-62
NGC 229,,,*,1,10.7695833333333,23.5094,15,14.1,0.9,13,1,0.4,2.5,96,S?,0.024514,103.55,,2577,MCG 4-2-49,CGCG 479-64,
NGC 230,,,*,1,10.6125,-23.6289,15.4,14.5,0.9,12.8,1.1,0.2,5.5,44,Sa,0.022546,95.23,,2539,ESO 474-14,MCG -4-2-37,AM 0040-234
NGC 231,,,*,4,10.2766666666667,-73.3525,,12.7,,,0.8,,,,OCL,,,62.44,,ESO 29-SC5,in SMC,
NGC 232,,,*,1,10.6904166666667,-23.5617,14.2,13.3,0.9,12.6,0.9,0.8,1.13,42,SBa,0.022639,95.63,91.85,2559,ESO 474-15,MCG -4-2-40,VV 830
NGC 233,,,*,1,10.9020833333333,30.5869,13.4,12.4,1,12.9,1.2,1.2,1,,E0,0.018086,76.39,,2604,UGC 464,MCG 5-2-41,CGCG 500-78
NGC 234,,,*,1,10.8845833333333,14.3425,13.3,12.6,0.7,13.1,1.5,1.2,1.25,54,SBc,0.01485,62.73,,2600,UGC 463,MCG 2-2-28,CGCG 434-32
NGC 235,A,,*,1,10.7195833333333,-23.5411,14.2,13.2,1,12.9,1.3,0.7,1.86,117,S0,0.022229,93.89,,2568,ESO 474-16,MCG -4-2-41,AM 0040-234
NGC 235,B,,,1,10.7241666666667,-23.5453,14.5,13.5,1,11.4,0.4,0.4,1,,S0,0.022676,95.78,,2570,ESO 474-17,MCG -4-2-42,AM 0040-234
NGC 236,,,*,1,10.8641666666667,2.9581,14.2,13.5,0.7,13.5,1.2,1,1.2,160,Sc,0.018823,79.51,,2596,UGC 462,MCG 0-3-1,CGCG 383-80
NGC 237,,,*,1,10.86625,-0.1253,13.6,13,0.6,13.2,1.6,0.9,1.78,175,SBc,0.013926,58.82,56.1,2597,UGC 461,MCG 0-2-136,CGCG 383-79
NGC 238,,,*,1,10.8566666666667,-50.1828,13.1,12.5,0.6,13.6,2,1.6,1.25,96,SBb,0.028706,121.25,,2595,ESO 194-31,FAIR 663,AM 0041-502
NGC 239,,,*,1,11.15625,-3.76,14.1,13.3,0.8,12.4,1,0.5,2,28,Sab,0.012632,53.36,,2642,MCG -1-3-7,IRAS 00420-0401,
NGC 240,,,*,1,11.2579166666667,6.1128,14.6,13.7,0.9,14,1.2,1.2,1,,S0-a,0.040825,172.44,,2653,UGC 473,MCG 1-3-1,CGCG 410-3
NGC 241,,,*,7,10.8883333333333,-73.4425,12.1,,,,0.9,,,,OCL,,,62.44,,NGC 242,ESO 29-SC6,in SMC
NGC 242,,,*,4,10.8883333333333,-73.4425,12.1,,,,0.9,,,,OCL,,,62.44,,NGC 241,ESO 29-SC6,in SMC
NGC 243,,,*,1,11.5029166666667,29.9597,14.6,13.7,0.9,12.4,0.9,0.4,2.25,149,S?,0.015968,67.45,,2687,MCG 5-2-43,CGCG 500-82,CGCG 501-1
NGC 244,,,*,1,11.44375,-15.5972,13.9,12.9,1,13,1.2,1,1.2,50,S0,0.00314,13.26,11.6,2675,MCG -3-3-3,UGCA 10,VV 728
NGC 245,,,*,1,11.5229166666667,-1.7233,13.1,12.3,0.8,12.5,1.3,1.1,1.18,145,Sb,0.013604,57.46,,2691,UGC 476,MCG 0-3-5,MK 555
NGC 246,,,*,3,11.76375,-11.8714,8,10.9,,,4.08,,,,PN,,,0.512,,PK 118-74.1,CS=11.9,
NGC 247,,,*,1,11.7845833333333,-20.76,9.7,9.1,0.6,14.4,19.2,5.5,3.49,172,SBcd,0.00052,2.2,3.59,2758,ESO 540-22,MCG -4-3-5,UGCA 11
NGC 248,,,*,2,11.35,-73.3803,,,,,1,,,,EN,,,62.44,,ESO 29-EN8,in SMC,
NGC 249,,,*,2,11.3825,-73.0803,13.8,,,,2,,,,EN,,,62.44,,ESO 29-EN9,in SMC,
NGC 250,,,*,1,11.8166666666667,7.91,14.7,13.8,0.9,13.2,1.1,0.6,1.83,153,S0-a,0.017459,73.75,,2765,UGC 487,MCG 1-3-2,CGCG 410-5
NGC 251,,,*,1,11.9745833333333,19.5969,13.9,13.2,0.7,14.6,2.4,1.9,1.26,96,Sc,0.015184,64.14,63.05,2806,UGC 490,MCG 3-3-3,CGCG 458-5
NGC 252,,,*,1,12.0070833333333,27.6233,13.3,12.4,0.9,12.8,1.4,1,1.4,80,S0-a,0.016471,69.57,77.12,2819,UGC 491,MCG 4-3-4,CGCG 480-7
NGC 253,,,*,1,11.8879166666667,-25.2875,8,7.2,0.8,12.7,29,6.8,4.26,52,SBc,0.000811,3.43,3.14,2789,ESO 474-29,MCG -4-3-9,UGCA 13
NGC 254,,,*,1,11.8645833333333,-31.4219,12.6,11.7,0.9,13.1,2.6,1.7,1.53,137,SB0,0.005434,22.95,17.1,2778,ESO 411-15,MCG -5-3-5,AM 0045-314
NGC 255,,,*,1,11.9470833333333,-11.4683,12.4,11.9,0.5,13.9,3.1,2.7,1.15,15,SBbc,0.005287,22.33,20,2802,MCG -2-3-17,IRAS 00452-1144,
NGC 256,,,*,4,11.4720833333333,-73.5069,,12.7,,,0.6,,,,OCL,,,62.44,,ESO 29-SC11,in SMC,
NGC 257,,,*,1,12.0066666666667,8.2967,13.3,12.6,0.7,13.4,1.9,1.3,1.46,105,Sc,0.017592,74.31,73.28,2818,UGC 493,MCG 1-3-3,CGCG 410-6
NGC 258,,,*,1,12.0533333333333,27.6578,15,14.2,0.8,12.3,0.5,0.4,1.25,108,Sb,,,,2829,MCG 4-3-5,NPM1G +27.0034,
NGC 259,,,*,1,12.0133333333333,-2.7758,13.6,12.8,0.8,13.3,2.9,0.6,4.83,139,Sbc,0.013492,56.99,48.95,2820,MCG -1-3-15,IRAS 00455-0302,
NGC 260,,,*,1,12.1454166666667,27.6919,14.2,13.5,0.7,12.9,0.8,0.8,1,,Sc/P,0.017385,73.43,,2844,UGC 497,MCG 4-3-6,CGCG 480-9
NGC 261,,,*,2,11.61625,-73.1039,13,,,,1.9,,,,EN,,,62.44,,ESO 29-EN12,in SMC,
NGC 262,,,*,1,12.19625,31.9575,13.9,13.1,0.8,13.1,1.1,1.1,1,,S0-a,0.015034,63.5,,2855,UGC 499,MCG 5-3-8,MK 348
NGC 263,,,*,1,12.2016666666667,-13.1072,15.1,14.3,0.8,12.5,0.7,0.3,2.33,45,Sbc,0.029,122.49,,2856,MCG -2-3-21,,
NGC 264,,,*,1,12.0870833333333,-38.2344,14.5,13.5,1,12.4,1.1,0.3,3.67,113,S0,0.016635,70.27,,2831,ESO 295-6,MCG -7-2-16,
NGC 265,,,*,4,11.79625,-73.4772,,12.2,,,1,,,,OCL,,,62.44,,ESO 29-SC14,in SMC,
NGC 266,,,*,1,12.4491666666667,32.2775,12.5,11.6,0.9,13.8,3,2.9,1.03,99,SBab,0.015547,65.67,,2901,UGC 508,MCG 5-3-9,CGCG 501-22
NGC 267,,,*,4,12.0120833333333,-73.2742,,,,,2.5,,,,OCL,,,62.44,,ESO 29-SC15,in SMC,
NGC 268,,,*,1,12.5391666666667,-5.1939,13.6,13.1,0.5,13.6,1.6,1.1,1.45,75,SBbc,0.018326,77.41,,2927,MCG -1-3-17,IRAS 00476-0527,
NGC 269,,,*,4,12.0875,-73.5317,,13.3,,,0.6,,,,OCL,,,62.44,,ESO 29-SC16,in SMC,
NGC 270,,,*,1,12.635,-8.6517,13.8,12.9,0.9,13.6,1.7,1.2,1.42,25,S0-a,0.012585,53.16,,2938,MCG -2-3-27,,
NGC 271,,,*,1,12.6745833333333,-1.9106,12.8,12,0.8,13.2,2.2,1.7,1.29,130,SBab,0.013773,58.18,,2949,UGC 519,MCG 0-3-12,CGCG 384-13
NGC 272,,,*,9,12.8583333333333,35.8217,,8.5,,,5,,,,*Grp,,,,,OCL 312,,
NGC 273,,,*,1,12.7016666666667,-6.8856,13.9,12.9,1,13.2,2.1,0.6,3.5,102,S0,0.016195,68.41,,2959,MCG -1-3-19,,
NGC 274,,,*,1,12.7575,-7.0567,12.8,11.8,1,12.4,1.4,1.2,1.17,25,E/SB0,0.005837,24.66,20.7,2980,MCG -1-3-21,VV 81,Arp 140
NGC 275,,,*,1,12.76875,-7.0653,13.2,12.5,0.7,13,1.5,1.2,1.25,126,SBcd/P,0.005817,24.57,21.9,2984,MCG -1-3-22,VV 81,Arp 140
NGC 276,,,*,1,13.0270833333333,-22.6803,15.5,14.7,0.8,13.6,1,0.4,2.5,90,SBb,0.046826,197.79,,3054,IC 1591,ESO 474-34,MCG -4-3-21
NGC 277,,,*,1,12.8216666666667,-8.5964,14.7,13.7,1,14.3,1.4,1.2,1.17,50,E-S0,0.014283,60.33,,2995,MCG -2-3-28,NPM1G -08.0030,
NGC 278,,,*,1,13.01875,47.5508,11.5,10.8,0.7,12.2,2.1,2,1.05,12,SBb,0.00209,8.83,11.8,3051,UGC 528,MCG 8-2-16,CGCG 550-16
NGC 279,,,*,1,13.0370833333333,-2.2183,13.6,12.7,0.9,13.2,1.6,1.2,1.33,158,S0-a,0.012936,54.64,,3055,UGC 532,MCG 0-3-19A,MK 558
NGC 280,,,*,1,13.1258333333333,24.3508,14.1,13.3,0.8,13.9,1.7,1.1,1.55,95,SB?,0.033707,142.38,123.87,3076,UGC 534,MCG 4-3-13,CGCG 480-17
NGC 281,,,*,2,13.2241666666667,56.625,,,,,35,30,1.17,,EN,,,2.9,,IC 11,LBN 616,in OCL 313
NGC 282,,,*,1,13.175,30.6389,14.7,13.7,1,13.7,1,0.9,1.11,50,E1,0.022259,94.02,,3090,MCG 5-3-15,CGCG 501-30,
NGC 283,,,*,1,13.3045833333333,-13.1633,14.8,14.1,0.7,14.5,1.6,1,1.6,154,Sc,0.037823,159.76,,3124,MCG -2-3-31,NPM1G -13.0034,IRAS 00507-1326
NGC 284,,,*,1,13.3508333333333,-13.1583,15.4,14.4,1,13.2,0.6,0.5,1.2,4,E2,0.03846,162.45,,3132,MCG -2-3-33,NPM1G -13.0035,
NGC 285,,,*,1,13.3741666666667,-13.1603,15.7,14.7,1,13.4,0.7,0.4,1.75,10,E-S0,0.036278,153.24,,3141,KAZ 377,NPM1G -13.0037,
NGC 286,,,*,1,13.37625,-13.1122,15.1,14.1,1,14.2,1.3,0.9,1.44,10,S0,0.036278,153.24,,3142,MCG -2-3-34,NPM1G -13.0038,AM 0051-132
NGC 287,,,*,1,13.3679166666667,32.4825,14.9,14,0.9,12.7,0.8,0.4,2,21,S0-a,0.018383,77.65,,3145,CGCG 501-33,,
NGC 288,,,*,5,13.1895833333333,-26.5975,,8.1,,,13,,,,X,,,8.9,,ESO 474-SC37,GCL 2,
NGC 289,,,*,1,13.1754166666667,-31.2056,11.7,11,0.7,14,5.1,3.6,1.42,130,SBbc,0.005434,22.95,22.77,3089,ESO 411-25,MCG -5-3-10,VV 484
NGC 290,,,*,4,12.81125,-73.1625,,12,,,0.8,,,,OCL,,,62.44,,ESO 29-SC19,in SMC,
NGC 291,,,*,1,13.3741666666667,-8.7675,14.8,13.9,0.9,13.3,1.1,0.6,1.83,45,Sa,0.019029,80.38,,3140,MCG -2-3-35,IRAS 00510-0901,
NGC 292,,,*,1,13.1583333333333,-72.8,2.7,2.3,0.4,14,319.1,205.1,1.56,45,SBm,0.000527,2.23,0.06,3085,ESO 29-21,A 0051-73,IRAS 00510-7306
NGC 293,,,*,1,13.5666666666667,-7.2356,15,14.2,0.8,14,1.1,0.9,1.22,19,SBb,0.019143,80.86,,3195,MCG -1-3-30,IRAS 00517-0730,
NGC 294,,,*,4,13.27375,-73.3806,,12.7,,,0.8,,,,OCL,,,62.44,,ESO 29-SC22,in SMC,
NGC 295,,,*,1,14.8845833333333,31.7981,15,14.2,0.8,13,0.6,0.5,1.2,,Sbc,0.015397,66.1,,3555,CGCG 501-56,,
NGC 296,,,*,1,13.7808333333333,31.5422,13.4,12.6,0.8,13.3,2.2,1,2.2,164,SBb,0.018199,76.87,56.5,3260,UGC 562,MCG 5-3-24,CGCG 501-42
NGC 297,,,*,1,13.7454166666667,-7.3503,16.5,15.5,1,12.5,0.3,0.2,1.5,95,E3,0.050778,214.48,,1020464,,,
NGC 298,,,*,1,13.7591666666667,-7.3336,14.5,13.8,0.7,13.2,1.7,0.4,4.25,90,Sc,0.005847,24.7,,3250,MCG -1-3-33,,
NGC 299,,,*,4,13.3529166666667,-72.1964,11.7,,,,0.7,,,,OCL,,,62.44,,ESO 51-SC5,in SMC,
NGC 300,,,*,1,13.7220833333333,-37.6842,8.7,8.1,0.6,14.3,19,12.9,1.47,111,Scd,0.00048,2.03,1.97,3238,ESO 295-20,MCG -6-3-5,AM 0052-375
NGC 301,,,*,1,14.07625,-10.6733,15.8,14.8,1,13.5,0.7,0.5,1.4,70,S0,0.022667,95.74,,3345,,,
NGC 302,,,*,9,14.105,-10.6622,,,,,,,,,*,,,,,,,
NGC 303,,,*,1,13.7275,-16.655,15.2,14.3,0.9,12.5,0.7,0.3,2.33,158,S+S,0.032489,137.23,,3240,"double system, contact",,
NGC 304,,,*,1,14.025,24.1272,14,13.1,0.9,12.7,1.1,0.7,1.57,175,S/P,0.016648,70.32,,3326,UGC 573,MCG 4-3-18,CGCG 480-23
NGC 305,,,*,9,14.0875,12.0633,,,,,,,,,*Grp,,,,,,,
NGC 306,,,*,4,13.5629166666667,-72.2425,12.5,,,,0.8,,,,OCL,,,62.44,,ESO 29-SC23,in SMC,
NGC 307,,,*,1,14.1354166666667,-1.7722,13.8,12.8,1,12.8,1.6,0.7,2.29,85,S0,0.013376,56.5,,3367,UGC 584,MCG 0-3-35,CGCG 384-39
NGC 308,,,*,9,14.1429166666667,-1.7836,,,,,,,,,*,,,,,,,
NGC 309,,,*,1,14.1775,-9.9142,12.5,11.9,0.6,14,3,2.4,1.25,175,SBc,0.018886,79.77,32.1,3377,MCG -2-3-50,IRAS 00542-1010,
NGC 310,,,*,9,14.1995833333333,-1.7647,15.4,,,,,,,,*,,,,,,,
NGC 311,,,*,1,14.3866666666667,30.2803,14,13,1,13.1,1.5,0.8,1.88,120,S0,0.016895,71.36,,3434,UGC 592,MCG 5-3-28,CGCG 501-49
NGC 312,,,*,1,14.0654166666667,-52.7831,13.4,12.4,1,12.9,1.4,1.1,1.27,62,E2,0.026612,112.41,96.95,3343,ESO 151-6,AM 0054-530,
NGC 313,,,*,9,14.4404166666667,30.3667,,,,,,,,,*2,,,,,,,
